Source,Target,Weight
SPAL,Napoli,3000000
Juventus,Empoli,7500000
Deportivo,Eibar,3500000
Deportivo,Eibar,5000000
Southampton,Blackburn,5500000
Pogon Szczecin,Cagliari,4000000
Rio Ave,Lille,6000000
Metz,Legia Warsaw,800000
SCC Mohammédi,Lille,600000
Chievo,Bologna,1000000
Genoa,Juventus,4500000
Inter,Albacete,2500000
Braga,Lazio,7700000
Braga,Lazio,4500000
Celta Vigo,Valencia,14500000
Vélez Sarsfiel,Espanyol,10000000
Porto,Sevilla,12000000
Montpellier,Monaco,13000000
Everton,Wigan,2200000
Manchester City,Everton,9350000
West Ham United,Norwich City,830000
Guingamp,Nantes,3000000
Genk,Atalanta,13700000
Eibar,Barcelona,4000000
Borussia Dortmund,Paris Saint-Germain,32000000
Eintracht Frankfurt,West Ham United,45000000
Chievo,Lazio,750000
Tottenham Hotspur,Atlético Madri,22200000
Udinese,Nantes,1500000
Nice,PSV Eindhoven,2000000
Roma,AEK Athens,1000000
Rennes,Lille,8000000
Ajax,Juventus,75000000
Espanyol,Atlético Madri,25000000
Sevilla,Granada,2000000
Almerí,Sevilla,1500000
Verona,Udinese,1000000
Paris Saint-Germain,RB Leipzig,13000000
Inter,Genoa,8000000
Genoa,Inter,12000000
Sporting Gijó,Villarreal,3000000
Sporting Gijó,Real Betis,5000000
Manchester City,Brighton,2780000
Cardiff,Dijon,2000000
Chelsea,Hertha Berlin,2500000
Manchester City,Sporting Gijó,4000000
Hajduk Split,Lille,6500000
Real Madrid,Udinese,1500000
Gamba Osaka,Bordeaux,3000000
KS Samara,Toulouse,2500000
Napoli,Benfica,17000000
Bournemouth,Sheffield United,11100000
Al Ahli,Brescia,1000000
Guingamp,Borussia Mönchengladbac,12000000
Bologna,Amiens,2000000
Nice,Brest,2000000
PSV Eindhoven,Lyon,220000
Lyon,Juventus,400000
Lyon,Real Betis,19750000
Sporting CP,Granada,3000000
Monaco,Lorient,1500000
Málag,Lazio,2500000
Hoffenheim,Newcastle United,44630000
Nimes,Angers,3500000
Tottenham Hotspur,Monterrey,7000000
Fenerbahce,Napoli,16000000
Kasimpasa,Aston Villa,9800000
Real Betis,Eibar,2000000
Nordsjaelland,Bologna,6000000
West Ham United,Sassuolo,8000000
Middlesbrough,Legané,6000000
Everton,RB Leipzig,25000000
Swansea,Crystal Palace,3300000
Marseille,Dynamo Moscow,5500000
Saint-Etienne,Krasnodar,12000000
Real Madrid,Arsenal,16500000
Manchester City,Aston Villa,16500000
Saint-Etienne,Arsenal,30000000
Málag,Legané,1200000
Nottingham Forest,Sheffield United,3850000
West Ham United,Middlesbrough,550000
Parma,Empoli,2500000
Fiorentina,Palmeiras,5500000
Inter,Genoa,2500000
Sassuolo,Empoli,1000000
Bayern Munich,Stuttgart,1500000
Real Betis,Saint-Etienne,3500000
Borussia Dortmund,Eintracht Frankfurt,4000000
Union Berlin,Arminia Bielefeld,1100000
Copenhagen,Hoffenheim,10000000
Udinese,Granada,2500000
Real Sociedad,Al-Gharafa,3000000
Huddersfield,Bournemouth,16450000
Montpellier,Cologne,6000000
Everton,Paris Saint-Germain,32000000
Brighton,Fortuna Düsseldor,2220000
Hoffenheim,Bayer Leverkusen,11000000
Clermont,Angers,2000000
Milan,Wolverhampton Wanderers,17670000
Hannover,RB Leipzig,200000
Sassuolo,Fiorentina,1000000
Radnik,Real Mallorca,1500000
Burnley,Aston Villa,8780000
Club Brugge,Bournemouth,14250000
Genoa,Ahli,1000000
Pescara,Parma,2500000
Club Brugge,Aston Villa,12100000
Chelsea,Bristol City,3850000
Charleroi,Lille,12000000
Lille,Arsenal,80000000
Augsburg,Eintracht Frankfurt,12000000
Watford,Hertha Berlin,20000000
Lille,Milan,35000000
Caen,Getafe,4000000
Swansea,Sheffield United,19600000
Arsenal,Derby,8250000
Arsenal,Partizan Belgrade,1000000
Barcelona,Zenit,40000000
Leeds,Burnley,3500000
Nice,Newcastle United,18000000
West Ham United,Augsburg,4000000
Mainz 05,Everton,25000000
Lazio,Wolverhampton Wanderers,12000000
Lazio,Wolverhampton Wanderers,8000000
Bristol City,Brighton,22000000
Dijon,Toulouse,8000000
Juventus,Everton,32000000
Real Betis,Barcelona,18000000
Empoli,Milan,16000000
Liverpool,Club Brügg,6950000
Leicester City,Manchester United,87000000
Boca Juniors,Marseille,16000000
Brentford,Brighton,21700000
Monaco,Bristol City,8000000
Rennes,Augsburg,7000000
Arsenal,Bordeaux,5000000
Anderlecht,Cologne,6000000
Trabzonspor,Lille,16500000
Flamengo,Saint-Etienne,1100000
Reims,Rennes,4000000
Slavia Prague,Brescia,3750000
Montpellier,Monaco,10000000
Châteaurou,Nimes,2000000
Villarreal,Besiktas,2000000
Paris Saint-Germain,Eintracht Frankfurt,9000000
Flamengo,Milan,11000000
Juventus,Manchester City,65000000
Manchester City,Juventus,35000000
Inter,Reading,8000000
Feyenoord,Mainz 05,8000000
Everton,Crystal Palace,3300000
Basel,West Ham United,8700000
Amiens,Newcastle United,5400000
Bologna,Bristol City,2500000
Arsenal,Brentford,3300000
Paris Saint-Germain,Charleroi,1500000
Southampton,West Brom,4500000
Rennes,Watford,33000000
Manchester United,Inter,75800000
Celtic,Arsenal,27000000
Fulham,Tottenham Hotspur,27100000
